,Modified_claude-sonnet-4-20250514_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelclaude-sonnet-4-20250514
207,"**UI/UX Designer**

Results-driven UI/UX designer with demonstrated expertise in creating intuitive, user-centered digital products. Proven track record in both independent and collaborative project environments with specialized skills in competitive analysis, prototyping, and responsive design implementation across multiple platforms.

**PROJECT EXPERIENCE**

**Barbershop Landing Page** | *Individual Project*
- Designed conversion-focused single-page website featuring comprehensive service information and integrated appointment booking functionality
- Executed strategic competitor analysis to identify market opportunities and inform design decisions
- Developed cohesive mood board and interactive prototypes to streamline development workflow
- Delivered complete UI design system utilizing sophisticated dark color scheme aligned with brand identity

**Music School Website Redesign** | *Individual Project*  
- Transformed outdated website into modern, intuitive interface enhancing user experience and accessibility
- Conducted thorough competitor analysis to benchmark industry standards and identify best practices
- Created detailed prototypes and scalable UI design system ensuring consistency across all touchpoints
- Engineered responsive interface solutions optimized for seamless tablet and mobile user experiences

**Housing Search Web Service** | *Team Project*
- Architected comprehensive web service interface for work-and-travel accommodation platform facilitating connections between international visitors and local hosts
- Led competitor analysis initiatives and developed detailed user personas based on target demographic research
- Designed complete site architecture including strategic site mapping and optimized user flow documentation
- Created detailed wireframes and established MVP functionality requirements balancing user needs with business objectives
- Delivered comprehensive design system with fully responsive adaptations ensuring optimal performance across desktop, tablet, and mobile devices

**CORE COMPETENCIES**
- Strategic Competitor Analysis
- User Persona Development & Research
- Advanced Prototyping & Wireframing
- UI Design & System Implementation
- Cross-Platform Responsive Design
- Information Architecture & User Flow Optimization
- MVP Strategy & Feature Definition
- Design System Development

**PROFESSIONAL PREFERENCES**
- Collaborative team environment
- Results-oriented project approach
- Flexible remote work arrangements
- Continuous learning and professional growth opportunities"
208,"**UI/UX Designer**

Results-driven UI/UX designer with proven experience designing landing pages, web services, and multi-page websites. Quick learner with strong focus on current design trends and contemporary aesthetics, ready to tackle challenging projects.

**Core Competencies:**
- Competitor analysis and market research
- Task analysis and strategic ideation
- Mood board creation and visual direction
- Website design and interactive prototyping
- Responsive design implementation

**Technical Expertise:**
- Figma
- CorelDRAW
- Adobe Photoshop
- Adobe Illustrator

**Professional Experience:**

**Web Service Design - Travel Platform**
Designed intuitive user interface for housing search functionality with focus on user experience optimization. Conducted comprehensive user research to identify optimal design strategies emphasizing simplicity and visual clarity. Developed structured design solutions accommodating two distinct user demographics with streamlined navigation and goal achievement pathways.

**Website Redesign - Destin Tattoo Company**
Led complete website redesign initiative to modernize brand presence and broaden target market appeal. Delivered simplified, user-centric interface featuring contemporary design elements and enhanced user experience.
- Conducted target audience and competitive landscape analysis
- Developed comprehensive prototyping and design framework
- Executed thorough reference research and selection process
- Created adaptive responsive site architecture

**Landing Page Design - Sugaring Salon**
Designed conversion-focused landing page emphasizing user convenience and service accessibility for salon business.
- Performed target audience segmentation and competitor analysis
- Conducted extensive reference research and selection
- Created comprehensive mood board and visual direction
- Executed full prototyping and design implementation

**Additional Qualifications:**
- Completed 3 independent design projects demonstrating creative initiative
- Proven results-focused design methodology
- Experienced in collaborative team environments
- Committed to continuous professional development and skill advancement"
209,"**Professional Profile**
Aspiring designer with passion for innovative solutions in modern project design. Experienced in comprehensive design process from research and analysis through prototyping to final implementation. Portfolio available on Behance.

**Career Objectives**
Seeking collaborative team environment with engaging projects, effective time management, and positive working culture.

**Skills & Tools**
- Primary design tool: Figma
- Additional experience with Photoshop and Adobe Illustrator
- User experience research and analysis
- Responsive web design
- Prototyping and wireframing
- Design system development

**Personal Projects**

**Travel Web Service**
- Conducted competitive analysis of travel and couchsurfing platforms
- Developed User Personas, User Flow, and Customer Journey Maps
- Created comprehensive design system and prototypes
- Delivered complete web service design solution

**Italian Restaurant Website**
- Performed competitor analysis and target audience research
- Developed user needs assessment and product prototyping
- Implemented consistent color palette, typography, and grid system
- Created responsive design adaptations for mobile devices and tablets

**English Language Learning Landing Page**
- Developed landing page featuring cohesive vector imagery and modern design aesthetic
- Created user-focused interface for language learning services"
210,"**UX/UI Designer**

**Professional Summary**
UX/UI designer with PhD research background and extensive experience in user research, data analysis, and design concept development. Proven ability to create user-friendly, aesthetically pleasing designs that address client needs through intuitive and engaging solutions. Experienced in complete design lifecycle from user research to product delivery, with demonstrated collaboration skills across development and QA teams.

**Experience**

**PhD Researcher**
University
• Conducted comprehensive surveys and interviews for research initiatives
• Performed advanced data analysis and provided strategic approval for author decisions  
• Conceptualized and designed scientific social media website as visualization platform for PhD thesis results
• Developed comprehensive concept for medicine analogues search website

**Sales Manager**
• Engaged with customers through consultative approach to identify and assess their specific needs
• Coordinated and directed cross-functional teamwork to achieve organizational objectives
• Cultivated exceptional customer communication and relationship management capabilities

**Design Projects**
• Created comprehensive designs for landing pages, websites, and mobile applications
• Applied advanced design principles encompassing color theory, typography, responsive design, and strategic layout principles
• Managed complete design process lifecycle including user research, concept development, prototyping, user testing, and final product delivery

**Technical Skills**
• **Design Software:** Figma, Adobe Photoshop, Adobe Illustrator
• **Web Development:** Webflow, HTML/CSS fundamentals
• **Design Expertise:** Advanced design principles, UX laws, color theory, responsive design, typography, information hierarchy
• **Design Deliverables:** User flows, wireframes, high-fidelity mockups, visual designs, interactive prototypes, comprehensive style guides, UI component libraries, scalable design systems
• **Research:** User research methodologies, statistical data analysis, user-centered design principles and implementation strategies

**Core Competencies**
• Comprehensive knowledge of design principles and UX laws
• User-centered design methodologies and implementation
• Analytical thinking and commitment to continuous professional development
• Innovative problem-solving and creative solution development
• Cross-functional team collaboration and stakeholder management
• Current expertise in emerging design trends and industry best practices"
211,"**UX/UI Designer**

Successfully completed comprehensive UX/UI design course with extensive hands-on experience developing user-centered digital solutions across mobile applications, websites, and e-commerce platforms.

**Core Competencies**
• Design and prototyping with focus on user-centered solutions
• User research methodologies including interviews, surveys, and usability testing
• Typography, color theory, and layout design principles
• User behavior analysis and research-driven design processes
• Cross-platform digital product development and implementation

**Experience**
Developed comprehensive portfolio of digital products during intensive UX/UI design training program, creating research-driven solutions for mobile applications, websites, and e-commerce platforms. Applied systematic UX research methodologies to inform strategic design decisions, ensuring optimal alignment between user needs and business objectives through data-driven insights.

**Design Methodology**
Utilize research-driven design methodology founded on comprehensive analysis of user behavior patterns. Execute detailed typography, color theory, and layout design strategies to develop cohesive user experiences that systematically address identified user pain points while strategically achieving defined business goals.

**Project Portfolio**
Successfully completed comprehensive project portfolio spanning multiple industry sectors during UX/UI design course curriculum, consistently applying UX research as the strategic foundation for all design solutions. Demonstrated proficiency in translating complex research insights into effective, user-focused digital products that successfully meet both user requirements and business objectives."
212,"**Junior UX/UI Designer**

Empathetic Junior UX/UI Designer creating pleasant and effective visual experiences through understanding of human behavior and companies' uniqueness. Proficient in developing comprehensive design solutions from research to prototype delivery.

**Core Competencies**
• Advanced proficiency in Figma and Adobe Creative Suite (Photoshop, Illustrator, Lightroom)
• Full-cycle design process management: research, analysis, wireframing, UI design, prototyping
• Responsive design for desktop, tablet, and mobile platforms
• User research and needs analysis
• Color theory and typography analysis
• Brand naming and visual identity development
• Time management and project coordination
• Team collaboration and brainstorming facilitation
• Business communication and public speaking
• Fluent in English

**Project Experience**

**'PAWSHUK' Website Design**
Designed comprehensive lost-and-found service platform for pet owners. Conducted user needs analysis to establish three core design principles: simple, effective, friendly. Implemented intuitive navigation, logical user flows, and encouraging visual components. Delivered complete responsive design suite for desktop, tablet, and mobile platforms.

**'Logan's Candies' Website Redesign**
Redesigned vintage-inspired website for 90-year family candy shop with 8 million social media followers. Developed clean design emphasizing brand heritage through strategic use of brand colors, simple forms, clear visual hierarchy, and highlighted key benefits. Created adaptive versions for tablet and mobile platforms.

**'Art in the City' Urban Festival Landing Page**
Designed landing page for Bucharest's premier visual art and public space forum. Created simple, user-friendly layout with clean design aesthetic inspired by graffiti magazine layouts to reflect the urban art theme.

**Professional Approach**
Continuously developing core UX/UI competencies while leveraging strong organizational and communication skills. Experienced in both individual and collaborative project environments with focus on creating unique and valuable product experiences.

Seeking position with innovative company creating useful products where I can contribute to design team decision-making processes and apply comprehensive skill set to develop distinctive, valuable solutions."
213,"**UI/UX DESIGNER**

Results-driven UI/UX Designer with demonstrated expertise in creating innovative digital solutions that address complex user challenges. Proven track record of collaborative project delivery, comprehensive user research, and implementing design strategies that enhance usability and user satisfaction.

**PROFESSIONAL EXPERIENCE**

**UI/UX DESIGNER | MEDICAL SERVICE PLATFORM**
Partnered with cross-functional team including Dominika Ganzhala and Maryna Borovikova to design comprehensive web service interface solving 40-year challenge of inefficient medical consultation documentation. Delivered complete design solution for private clinic management system enabling streamlined patient history access, appointment scheduling, and integrated telemedicine capabilities.

**Key Achievements:**
- Conducted comprehensive user research identifying critical pain points in medical workflow processes
- Designed intuitive interface solutions improving doctor-patient interaction efficiency
- Executed full design lifecycle from research through testing and implementation

**Research & Analysis:**
Competitive Analysis | Strategic Brainstorming | Jobs to be Done Framework | Persona Development | User Flow Mapping | Customer Journey Mapping
*Tools: Zoom, Slack, Semrush, SimilarWeb*

**Design & Development:**
Wireframe Creation | UI Design Systems | Adaptive Design Solutions | Interactive Prototyping
*Tools: Figma, Photoshop, Illustrator*

**User Testing & Validation:**
Corridor Testing | Five-Second Testing Methodology
*Tools: Maze*

**UI/UX DESIGNER | INDIAN CAFE WEBSITE REDESIGN**
Led comprehensive website redesign for Indian restaurant chain, transforming outdated digital presence into modern, conversion-focused platform. Addressed critical usability issues including navigation complexity, visual design deficiencies, and limited customer engagement options.

**Strategic Solutions Delivered:**
- Redesigned complete visual identity with contemporary, culturally-appropriate aesthetic
- Integrated high-quality food photography showcasing menu offerings
- Streamlined information architecture for location, hours, and contact accessibility
- Implemented intuitive menu categorization system with clear pricing structure
- Enhanced customer contact options beyond traditional phone-only communication

**Design Process:**
Market Research & Competitor Analysis | Wireframe Development | UI Kit Creation | Responsive Design Implementation

**UI/UX DESIGNER | DESIGN MEETUP LANDING PAGE**
Conceptualized and executed educational landing page project demonstrating end-to-end design capabilities. Delivered complete project from initial analysis through final design implementation.

**CORE COMPETENCIES**

**Design Expertise:**
User Interface Design | User Experience Design | Wireframing | Interactive Prototyping | Responsive Design

**Research & Strategy:**
Competitive Analysis | User Research Methodologies | Customer Journey Mapping | Problem-Solution Framework

**Technical Proficiency:**
Adobe Creative Suite (Illustrator, Photoshop) | Figma | Maze | Design Systems

**Professional Skills:**
Cross-Functional Team Collaboration | Strategic Problem-Solving | Project Management | Continuous Learning & Development"
214,"**Design Professional**

**Profile**
Design specialist in Web and UI-UX design with completed formal design education. Experienced in full-cycle design projects including mobile applications, web services, and landing pages. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Miro, and Canva with UX research capabilities. Dedicated to creating innovative solutions that improve user experience and support business objectives. Proven track record as a reliable, organized, and efficient team contributor.

**Technical Skills**
• Design Software: Figma, Adobe Photoshop, Adobe Illustrator, ProtoPie, Miro, Canva
• Specializations: Web Design, UI-UX Design, Mobile Application Design
• Capabilities: UX Research, Full-Cycle Design Projects, Landing Page Development

**Project Portfolio**

**ShopSmart** - Web Service/Mobile Application
Mobile application designed to enhance everyday shopping experience and user satisfaction

**UAdvisor** - Web Service  
Web platform providing assistance, support, and shelter resources for Ukrainian refugees abroad

**CBD** - Website Redesign
Complete redesign project for event planning company website

**Core Competencies**
• Full-cycle design project management from concept to completion
• Cross-platform design for web services and mobile applications
• User experience research and analysis
• Collaborative teamwork and stakeholder communication
• Results-oriented approach with emphasis on design excellence

**Professional Attributes**
• Reliable, organized, and efficient team contributor
• Adaptable to remote work arrangements
• Committed to mutual respect and positive work atmosphere
• Engaged in corporate training and professional development programs
• Focused on career advancement opportunities"
215,"**Skills:**
• UX/UI Design: Creating appealing and functional designs adapted for various platforms
• Figma and Photoshop: Proficient user capable of producing high-quality layouts and prototypes  
• Communication: Effectively interact with colleagues and clients to understand and meet their requirements
• Time Management: Efficiently plan tasks and manage time to achieve set goals
• Responsibility: Diligently fulfill responsibilities, even under pressure and tight deadlines

**Professional Summary:**
UX/UI designer with excellent communication skills, successful teamwork experience, outstanding time management, and strong sense of responsibility. Skilled in creating stunning user interfaces and designs while ensuring optimal usability of products and services. Specialized in designing landing pages, web services, and mobile applications.

**Work Experience:**

**UX/UI Designer Study** | GoIT | 06.2023 - Present  
• Developed user interfaces and designs for websites, landing pages, and mobile applications
• Collaborated closely with development teams to optimize user experience
• Created prototypes and tested designs using Figma and Photoshop
• Consistently met project deadlines while completing tasks according to project requirements

**Doctor of Veterinary Medicine** | Veterinary Surgery, Oncology, and Intensive Care Center | 2019-2023
• Provided veterinary medical services in a specialized surgical, oncology, and intensive care environment
• Developed strong client communication skills through patient consultations and treatment discussions
• Gained extensive experience handling high-pressure and stressful situations
• Enhanced interpersonal interaction abilities through daily client and team collaboration

**Education:**
**Master's Degree in Veterinary Medicine** | Sumy National Agrarian University | 2022"
216,"**UI/UX Designer**

Dedicated UI/UX designer with foundational knowledge and practical experience in web design, UI/UX design, and mobile design. Committed to continuous learning and skill development while creating usable and effective designs from concept to finished product.

**Core Competencies:**
• Competitor analysis and UX research
• Web design and development of landing pages, web services, and mobile applications
• Prototyping and animation creation
• UI/UX design across digital platforms
• Mobile design and responsive interfaces

**Professional Experience:**

**Car Control Mobile Application**
Full Cycle Design | Study Case
• Designed comprehensive mobile application for remote car control with satellite security system
• Conducted thorough market research and developed intuitive user flow
• Created detailed wireframes and executed UI design for 60+ screens
• Successfully completed full project cycle within two-month timeframe

**Medical Web Service**
Mobile Adaptation | Study Case
• Developed comprehensive web service interface for online doctor-patient consultations
• Designed three integrated components: clinic website, doctor's cabinet, and user personal profile
• Implemented mobile adaptation ensuring responsive design across all devices

**Professional Objectives:**
• Collaborate with cutting-edge technologies and industry-standard tools
• Pursue career advancement opportunities in UI/UX design
• Engage in corporate training and continuous professional development
• Benefit from mentorship with experienced design professionals"
217,"**Mobile Application Developer & UI/UX Designer**

**PROFESSIONAL PROFILE**

Results-driven UI/UX Designer and Mobile Application Developer with expertise in creating intuitive, user-centered digital solutions. Combines deep understanding of user needs with technical proficiency to deliver functional products that solve real-world problems. Demonstrated ability to conduct comprehensive market research and translate insights into compelling user experiences. Detail-oriented professional with strong collaborative skills and commitment to continuous improvement and innovation.

**CORE COMPETENCIES**

- Mobile Application Development
- User Experience (UX) Design  
- User Interface (UI) Design
- User Research & Analysis
- Competitive Market Analysis
- Target Audience Research
- Information Architecture
- Wireframing & Prototyping
- Interactive Prototype Development
- Cross-functional Team Collaboration
- Project Management
- Quality Assurance & Testing

**PROFESSIONAL EXPERIENCE**

**Mobile Application Developer & UI/UX Designer**

Led end-to-end development of restaurant table reservation mobile application, delivering streamlined booking solution that enhances user dining experience. Executed comprehensive market research and competitive analysis to identify user pain points and inform product strategy. Designed and implemented intuitive user interface enabling seamless table discovery and reservation with minimal user friction.

Key Achievements:
• Developed complete mobile application from concept to deployment
• Conducted extensive user research and competitive analysis to validate market opportunity
• Created user-friendly interface design optimizing reservation workflow
• Implemented advanced features including menu browsing and pre-ordering capabilities
• Delivered polished, production-ready application meeting all user experience requirements"
218,"**UI/UX Designer**

**Professional Summary**
Results-driven UI/UX Designer specializing in web services, websites, and mobile applications with comprehensive expertise in design management, UX research, prototyping, and product design. Proven team leader with demonstrated ability to guide cross-functional projects from initial concept through final implementation while ensuring design consistency and quality standards.

**Leadership Experience**

**Team Leader | ClinicMed Medical Web Service**
Spearheaded end-to-end development of innovative medical web platform connecting patients with healthcare providers for remote consultations. Orchestrated complete project lifecycle encompassing market research and competitor analysis, target audience segmentation, user persona development utilizing JTBD framework, comprehensive user flow design with detailed customer journey mapping, wireframe conceptualization, robust UI kit development featuring reusable components, and interactive prototype creation. Successfully navigated team dynamics through conflict resolution and ambiguity management while maintaining cohesive project vision, implementing quality control measures for design accuracy, and establishing standardized project methodologies.

**Team Leader | Giferia Mobile Application**
Directed comprehensive development of mobile gift-selection and delivery platform enhancing user experience for personalized gifting. Executed strategic project phases including extensive market research, user persona creation with MVP/MMP definition, intuitive user flow development and customer journey optimization, low-fidelity wireframe conceptualization, comprehensive UI kit and component library creation, and sophisticated interactive prototyping. Delivered exceptional leadership through proactive oversight, strategic conflict resolution, vision alignment across stakeholders, rigorous design quality assurance, and implementation of unified project frameworks.

**Independent Design Projects**
- Executed complete website redesign for grill restaurant, enhancing user engagement and brand presence
- Developed multiple high-converting landing pages optimizing user experience and conversion rates  
- Conceptualized and delivered 2 comprehensive personal projects demonstrating design innovation

**Additional Professional Experience**
Contributed design expertise to social impact initiative developing volunteer coordination website platform.

**Core Competencies**
- Strategic UX Research & Competitive Analysis
- User Persona Development & Journey Mapping
- Advanced Wireframing & Interactive Prototyping
- Comprehensive UI Kit & Component System Design
- Team Leadership & Cross-functional Collaboration
- Design Management & Quality Assurance
- Product Design Strategy
- Web & Mobile Application Design
- Conflict Resolution & Project Vision Management

**Career Objective**
Seeking opportunity to collaborate with innovative, forward-thinking design team to expand professional capabilities, contribute meaningful design solutions, and drive impactful user experiences."
219,"**Graphic and UI/UX Designer**

**PROFESSIONAL SUMMARY**
Results-driven Graphic and UI/UX Designer with specialized expertise in fintech and blockchain application design. Proven track record delivering comprehensive digital solutions for international clients across USA, Canada, and the UK. Expert in full-cycle product design from conceptualization to completion, encompassing web and mobile applications, corporate branding, and interactive design solutions.

**PROFESSIONAL EXPERIENCE**

**Graphic and UI/UX Designer**
*Outsource Company (Fintech and Blockchain Specialization)*
• Architected and designed complete web and mobile application interfaces for international clients across USA, Canada, and UK markets
• Led end-to-end website design project for blockchain trading company, delivering comprehensive user experience from initial concept through final implementation
• Developed innovative blockchain corporate project incorporating tokenized game functionality and interactive user elements
• Partnered directly with diverse international clients to analyze requirements, identify design challenges, and deliver strategic solutions
• Authored comprehensive Brand Book and established complete corporate identity systems
• Designed extensive corporate merchandise portfolio including branded promotional items (cups, apparel, writing instruments)
• Produced cohesive marketing collateral suite including banners, print materials, and promotional posters aligned with corporate brand standards
• Conceptualized and designed custom corporate interactive notebook for employee milestone recognition, featuring original character illustrations and thematic page layouts
• Developed strategic Instagram corporate post templates establishing consistent visual framework for ongoing social media content

**Freelance Graphic Designer**
• Designed distinctive logo identity for Ukrainian bag manufacturer
• Executed comprehensive website redesign project, modernizing outdated web platform interface

**PORTFOLIO PROJECTS**
• Produced professional animation content for Behance portfolio case study presentation

**CORE COMPETENCIES**
• UI/UX Design for Web and Mobile Applications
• Blockchain and Fintech Product Design
• Corporate Branding and Identity Systems
• Digital Marketing and Promotional Materials
• Custom Character Illustration and Animation
• Client Relationship Management and Strategic Problem-Solving
• International Cross-Cultural Project Coordination

**CAREER OBJECTIVES**
Seeking collaborative opportunities within structured design teams alongside experienced designers and business analysts. Pursuing environments with clearly defined project requirements and realistic timelines to advance professional development and design expertise.

**TECHNICAL LIMITATIONS**
Design specialization does not include HTML code conversion capabilities."
220,"**UX/UI Designer & Product Manager**

**PROFESSIONAL SUMMARY**
Expert UX/UI Designer and Product Manager with 8+ years of experience creating intuitive designs for mobile apps, websites, and web applications. Specializes in developing forward-thinking digital experiences, user flows, UI/UX design, interaction design, and design systems.

**PROFESSIONAL EXPERIENCE**

**UX/UI Designer & Product Manager**
• Led design initiatives for diverse projects spanning large enterprise products to cinema network applications
• Currently developing products for major cinema networks including CGV Cinemas, one of the largest global cinema chains
• Executed comprehensive web development, web design, re-design, and maintenance projects
• Collaborated daily with development teams to ensure seamless project handoffs and long-term maintainability
• Created sustainable design solutions with focus on practical implementation for developers and future maintainers

**TECHNICAL EXPERTISE**
• Proficient in HTML, CSS, and JavaScript markup and programming languages
• Extensive hands-on experience in web development and design implementation
• Strong collaboration skills with cross-functional development teams

**CORE COMPETENCIES**
• User Interface Design (UI)
• User Experience Design (UX)
• Responsive Web Design
• Mobile Design
• App Design
• Components Design
• Wireframes
• Prototypes
• Product Management
• Design Systems
• Interaction Design

**TECHNICAL TOOLS**
• Figma / Adobe XD (design, design collaboration, prototyping)
• Adobe Photoshop / Illustrator (image manipulation)
• Web Technologies: HTML, CSS, JavaScript

**DESIGN PHILOSOPHY**
Committed to creating products with developers and future maintainers in mind, ensuring practical implementation and sustainable design solutions that bridge the gap between design vision and technical execution."
221,"**Game UI/UX Designer**

Experienced Game UI/UX Designer with UI Artist and animation expertise since 2019, with web design background since 2015. Demonstrates comprehensive technical proficiency across design tools and programming languages, with proven ability to guide full project lifecycles. Currently contributing to design education as instructor at IT Academy (Lviv).

**Technical Skills:**
• Design & Development: Figma, Adobe Photoshop, Unreal Engine 4, Unity
• Programming: HTML, CSS, JavaScript
• Specializations: UI/UX Design, Animation, Web Design

**Professional Experience:**

**Game UI/UX Designer** | 2019 - Present
• Architect intuitive user experience flows strategically aligned with overarching game design objectives
• Design and produce comprehensive UI screens, interactive elements, and development-ready assets for programming teams
• Articulate UX vision and design concepts effectively across cross-functional team environments
• Partner closely with development teams to ensure seamless implementation of in-game design systems
• Leverage additional technical competencies to enhance game development processes

**Web Designer** | 2015 - 2019
• Established comprehensive design workflows and processes
• Provided mentoring and professional development guidance to team members
• Successfully acquired and managed new client relationships independently
• Executed website updates and brand redesign projects for digital platforms and applications

**Core Competencies:**
• Complete project development lifecycle expertise
• Advanced cross-functional team collaboration
• Commitment to continuous professional development through daily skill enhancement
• Multilingual learning capabilities
• Active lifestyle practitioner including basketball, Brazilian jiu-jitsu, and yoga"
222,"**OBJECTIVE**

Seeking opportunities in engaging and diverse projects where I can apply my knowledge and skills while collaborating with a strong team to exchange experience and expertise.

**PROFESSIONAL EXPERIENCE**

Game UI/UX Designer/Artist
Ukrainian Game Company

• Designed UI visuals for casual games from initial concept through final rendering
• Prepared sprites for Unity development implementation  
• Collaborated with cross-functional teams including designers, managers, 2D/3D artists, and programmers
• Researched game interfaces and functional solutions to inform design decisions
• Developed intuitive, visually appealing, and distinctive user interfaces
• Created comprehensive game interface assets including logos, icons, buttons, pop-ups, and unique mechanics
• Monitored interface implementation in game engines to ensure design integrity
• Maintained current knowledge of emerging UI/UX design trends and techniques
• Contributed to development of released mobile casual game

**EDUCATION**

Bachelor of Arts in Artist-Performer
Kyiv National University of Construction and Architecture"
223,"**UI/UX Game Designer**

**Experience:** 4 years commercial design experience | 2 years commercial game development experience

**Education & Certifications:**
• Web Design graduate with honors - supervised final group project
• English courses completed with honors (2022)

**Professional Accomplishments:**
• 248+ successfully completed projects
• Led comprehensive UI development for educational mobile game achieving 100,000+ downloads
• Contributed to AAA PC MOBA development
• Successfully migrated PC cybersports simulator to mobile platform within deadline
• Coordinated simultaneous exhibition material printing across two cities
• Designed onboarding welcome-box for new employee integration

**Project Portfolio:**
Mobile shooters | Educational children's games | Tactical MOBAs | Multiplayer casual games

**Core Competencies:**
End-to-end UI/UX development encompassing information architecture, player journey mapping, UI research, wireframing, visual design exploration, prototyping, Unity3D resource implementation (with and without developer collaboration), and comprehensive game testing participation

**Technical Proficiencies:**
• Figma - Interface design, vector graphics, animation
• Photoshop - Raster graphics and image manipulation
• Unity3D - Game engine integration
• Jira & Confluence - Project management and documentation
• Plastic SCM - Version control systems
• Graphics tablet - Digital illustration and game asset creation
• Technology adaptation - Quick proficiency in emerging tools

**Professional Philosophy:**
Dedicated developer maintaining active engagement with developed games during personal time while continuously monitoring industry evolution and maintaining productivity in challenging market environments."
224,"**UX/UI Designer** (2020-2022)

Second Half of Year
• Developed indie game interfaces based on UX research conducted independently
• Created low-fidelity and high-fidelity wireframes
• Collaborated with developers and game designers
• Designed surveys and exercises to conduct comprehensive user testing for deeper game understanding

First Half of Year
• Developed UX/UI solutions using user-centered design principles
• Conceptualized ideas from low-fidelity wireframes to interactive visual designs and prototypes
• Built and designed site maps and information architecture
• Demonstrated how design builds from core user needs to add value in ways users may not have considered
• Illustrated design ideas using storyboards, process flows, and sitemaps
• Developed adaptive and responsive UX/UI wireframes for web-based applications
• Considered negative paths and ensured design covered full customer loops
• Created customer journey maps and guides to support product vision

**Visual and Graphic Designer** (2019-2022)

• Created logos, conceptual identity, banners, posters, and advertisements
• Generated ideas and style concepts while monitoring design trends
• Maintained attention to detail and structured work results effectively
• Presented and defended design ideas to clients
• Collaborated within strong team environment to implement knowledge and contribute to product development"
225,"**Professional Summary**

Experienced designer with expertise in copyright law, enabling companies to navigate legal compliance safely. Active community contributor through urban space improvement initiatives and leadership in the Mykolayiv Design Community. Regular speaker at IT industry events.

**Core Competencies**

• User Interface Design - Mobile, desktop, and gaming applications from concept to completion
• UX Methodology - Wireframing, user flows, journey mapping, persona development, and interactive prototyping  
• Brand Identity Development - Logo design, corporate styling, brand guidelines, and comprehensive brand books
• Design Systems - Atomic design system development and implementation across digital platforms
• Project Management - Design estimation and review processes with stakeholder feedback integration
• Team Collaboration - Cross-functional team integration with strong communication skills
• Graphic Design - Complete visual supply creation and maintenance

**Professional Experience**

**User Experience & Interface Designer**

• Design comprehensive user interfaces from initial concept through final implementation across mobile, desktop, and gaming platforms
• Execute UX methodologies including high and low-fidelity wireframes, user journey mapping, persona development, and detailed interactive prototypes
• Develop and maintain cohesive brand identities and visual systems for products and brands
• Architect scalable atomic design systems for websites, applications, and gaming projects
• Provide accurate project estimation and timeline development for design initiatives of varying complexity
• Lead design reviews and seamlessly integrate feedback from design leadership, stakeholders, and clients
• Collaborate within cross-functional teams of diverse specialists to deliver integrated design solutions

**Leadership & Community Engagement**

• Lead Mykolayiv Design Community initiatives and urban space improvement projects
• Deliver presentations and speak at IT industry events
• Provide copyright law expertise to support organizational legal compliance

**Additional Qualifications**

Remote work capability with self-sustaining residence setup
Available for full-time position with minimal downtime requirements
Military service exemption due to family circumstances"
226,"Lead Game UI/UX Designer • Obrio (Genesis)
January 2021 – August 2022

Factory Empire - Mobile Casual Casino

• Designed and developed over 15 features from concept to completion
• Established comprehensive style and color systems for UI consistency
• Developed detailed game design documentation and specifications
• Conducted comprehensive market analysis and competitive research
• Produced interactive video prototypes demonstrating feature functionality
• Created and maintained comprehensive UI kit and design systems
• Led mentoring initiatives and managed junior design staff
• Analyzed product performance metrics through devtodev.com analytics platform
• Delivered strategic presentations and results reporting to cross-functional teams

Additional Responsibilities:
• Judge and Mentor at Genesis GameJam 2021
• Developed and delivered Game UX lecture series for Projector Institute Game Design Beginning course

UI/UX Designer • Evoplay
February 2020 – January 2021

Various Gambling Projects

• Provided ongoing support and optimization for mobile and web products
• Developed and maintained comprehensive UI kit and design standards
• Implemented responsive design solutions across multiple breakpoints
• Designed and delivered targeted mini-features and interface improvements
• Created custom illustrations and visual assets for feature enhancement

Product Designer • Aimbulance
September 2019 – February 2020

UI Designer • Under NDA
September 2017 – September 2019"
227,"**GRAPHIC & UI/UX DESIGNER**

Kharkiv-based designer with over 10 years of experience in graphic and UI/UX design. Proven track record collaborating with advertising agencies, marketing firms, and printing houses. Successfully delivered projects for European clients and leading Ukrainian real estate companies through both in-house and freelance engagements.

**PROFESSIONAL EXPERIENCE**

**Graphic & UI/UX Designer**
- Developed corporate identity solutions for leading Ukrainian real estate companies
- Created comprehensive brand identities encompassing logos and style guides
- Designed outdoor advertising campaigns deployed across Kyiv, Kharkiv, and additional Ukrainian and European markets
- Executed design projects in collaboration with European clients
- Delivered services across advertising agencies, marketing firms, and printing houses
- Provided freelance design solutions for diverse client portfolio

**TECHNICAL EXPERTISE**
- Website development utilizing Tilda constructor
- UX research and analysis
- Corporate identity and logo design
- Social media design and branding
- Print layout design
- Presentation design
- Outdoor advertising design
- Transport branding
- Landing page and website development

**CORE COMPETENCIES**
- Strategic organizational and planning capabilities
- Collaborative team integration
- User-centered design methodology
- Comprehensive graphic and UI/UX design services

**PORTFOLIO**
Comprehensive portfolio showcasing logos, brand identities, and advertising materials with active displays throughout Ukraine and Europe, evidencing successful cross-market project execution."
